area,coverage,variable,value
46637,Male,        High school graduate or higher,"5,320"
46637,Female,        High school graduate or higher,"5,552"
"St. Joseph County, Indiana",Total,        Bachelor's degree or higher,"56,763"
"St. Joseph County, Indiana",Male,        Bachelor's degree or higher,"26,566"
"St. Joseph County, Indiana",Female,        Bachelor's degree or higher,"30,197"
46506,Total,        Bachelor's degree or higher,"1,523"
46506,Male,        Bachelor's degree or higher,536
46506,Female,        Bachelor's degree or higher,987
46530,Total,        Bachelor's degree or higher,"11,592"
46530,Male,        Bachelor's degree or higher,"5,825"
46530,Female,        Bachelor's degree or higher,"5,767"
46536,Total,        Bachelor's degree or higher,429
46536,Male,        Bachelor's degree or higher,219
46536,Female,        Bachelor's degree or higher,210
46544,Total,        Bachelor's degree or higher,"5,167"
46544,Male,        Bachelor's degree or higher,"2,497"
46544,Female,        Bachelor's degree or higher,"2,670"
46545,Total,        Bachelor's degree or higher,"5,488"
46545,Male,        Bachelor's degree or higher,"2,600"
46545,Female,        Bachelor's degree or higher,"2,888"
46550,Total,        Bachelor's degree or higher,883
46550,Male,        Bachelor's degree or higher,431
46550,Female,        Bachelor's degree or higher,452
46552,Total,        Bachelor's degree or higher,"1,194"
46552,Male,        Bachelor's degree or higher,468
46552,Female,        Bachelor's degree or higher,726
46554,Total,        Bachelor's degree or higher,860
46554,Male,        Bachelor's degree or higher,344
46554,Female,        Bachelor's degree or higher,516
46556,Total,        Bachelor's degree or higher,380
46556,Male,        Bachelor's degree or higher,326
46556,Female,        Bachelor's degree or higher,54
46561,Total,        Bachelor's degree or higher,"2,223"
46561,Male,        Bachelor's degree or higher,963
46561,Female,        Bachelor's degree or higher,"1,260"
46563,Total,        Bachelor's degree or higher,"3,159"
46563,Male,        Bachelor's degree or higher,"1,330"
46563,Female,        Bachelor's degree or higher,"1,829"
46573,Total,        Bachelor's degree or higher,656
46573,Male,        Bachelor's degree or higher,339
46573,Female,        Bachelor's degree or higher,317
46574,Total,        Bachelor's degree or higher,947
46574,Male,        Bachelor's degree or higher,432
46574,Female,        Bachelor's degree or higher,515
46595,Total,        Bachelor's degree or higher,0
46595,Male,        Bachelor's degree or higher,0
46595,Female,        Bachelor's degree or higher,0
46601,Total,        Bachelor's degree or higher,845
46601,Male,        Bachelor's degree or higher,352
46601,Female,        Bachelor's degree or higher,493
46613,Total,        Bachelor's degree or higher,871
46613,Male,        Bachelor's degree or higher,394
46613,Female,        Bachelor's degree or higher,477
46614,Total,        Bachelor's degree or higher,"6,670"
46614,Male,        Bachelor's degree or higher,"3,025"
46614,Female,        Bachelor's degree or higher,"3,645"
46615,Total,        Bachelor's degree or higher,"3,237"
46615,Male,        Bachelor's degree or higher,"1,357"
46615,Female,        Bachelor's degree or higher,"1,880"
46616,Total,        Bachelor's degree or higher,"1,323"
46616,Male,        Bachelor's degree or higher,720
46616,Female,        Bachelor's degree or higher,603
46617,Total,        Bachelor's degree or higher,"4,206"
46617,Male,        Bachelor's degree or higher,"2,005"
46617,Female,        Bachelor's degree or higher,"2,201"
46619,Total,        Bachelor's degree or higher,"1,806"
46619,Male,        Bachelor's degree or higher,699
46619,Female,        Bachelor's degree or higher,"1,107"
46624,Total,        Bachelor's degree or higher,40
46624,Male,        Bachelor's degree or higher,15
46624,Female,        Bachelor's degree or higher,25
46628,Total,        Bachelor's degree or higher,"4,594"
46628,Male,        Bachelor's degree or higher,"1,926"
46628,Female,        Bachelor's degree or higher,"2,668"
46635,Total,        Bachelor's degree or higher,"1,477"
46635,Male,        Bachelor's degree or higher,685
46635,Female,        Bachelor's degree or higher,792
46637,Total,        Bachelor's degree or higher,"4,398"
46637,Male,        Bachelor's degree or higher,"2,194"
46637,Female,        Bachelor's degree or higher,"2,204"
"St. Joseph County, Indiana",Total,    Population 25 to 34 years,"36,060"
"St. Joseph County, Indiana",Male,    Population 25 to 34 years,"18,139"
"St. Joseph County, Indiana",Female,    Population 25 to 34 years,"17,921"
46506,Total,    Population 25 to 34 years,"1,273"
46506,Male,    Population 25 to 34 years,739
46506,Female,    Population 25 to 34 years,534
46530,Total,    Population 25 to 34 years,"3,091"
46530,Male,    Population 25 to 34 years,"1,383"
46530,Female,    Population 25 to 34 years,"1,708"
46536,Total,    Population 25 to 34 years,309
46536,Male,    Population 25 to 34 years,94
46536,Female,    Population 25 to 34 years,215
46544,Total,    Population 25 to 34 years,"5,680"
46544,Male,    Population 25 to 34 years,"3,395"
46544,Female,    Population 25 to 34 years,"2,285"
46545,Total,    Population 25 to 34 years,"3,918"
46545,Male,    Population 25 to 34 years,"2,147"
46545,Female,    Population 25 to 34 years,"1,771"
46550,Total,    Population 25 to 34 years,"2,204"
46550,Male,    Population 25 to 34 years,"1,086"
46550,Female,    Population 25 to 34 years,"1,118"
46552,Total,    Population 25 to 34 years,567
46552,Male,    Population 25 to 34 years,304
46552,Female,    Population 25 to 34 years,263
46554,Total,    Population 25 to 34 years,574
46554,Male,    Population 25 to 34 years,307
46554,Female,    Population 25 to 34 years,267
46556,Total,    Population 25 to 34 years,152
46556,Male,    Population 25 to 34 years,125
46556,Female,    Population 25 to 34 years,27
46561,Total,    Population 25 to 34 years,"1,180"
46561,Male,    Population 25 to 34 years,537
46561,Female,    Population 25 to 34 years,643
46563,Total,    Population 25 to 34 years,"2,648"
46563,Male,    Population 25 to 34 years,"1,424"
46563,Female,    Population 25 to 34 years,"1,224"
46573,Total,    Population 25 to 34 years,518
46573,Male,    Population 25 to 34 years,266
46573,Female,    Population 25 to 34 years,252
46574,Total,    Population 25 to 34 years,794
46574,Male,    Population 25 to 34 years,389
46574,Female,    Population 25 to 34 years,405
46595,Total,    Population 25 to 34 years,0
46595,Male,    Population 25 to 34 years,0
46595,Female,    Population 25 to 34 years,0
46601,Total,    Population 25 to 34 years,779
46601,Male,    Population 25 to 34 years,454
46601,Female,    Population 25 to 34 years,325
46613,Total,    Population 25 to 34 years,"1,748"
46613,Male,    Population 25 to 34 years,872
46613,Female,    Population 25 to 34 years,876
46614,Total,    Population 25 to 34 years,"3,802"
46614,Male,    Population 25 to 34 years,"1,969"
46614,Female,    Population 25 to 34 years,"1,833"
46615,Total,    Population 25 to 34 years,"2,005"
46615,Male,    Population 25 to 34 years,830
46615,Female,    Population 25 to 34 years,"1,175"
46616,Total,    Population 25 to 34 years,"1,081"
46616,Male,    Population 25 to 34 years,539
46616,Female,    Population 25 to 34 years,542
46617,Total,    Population 25 to 34 years,"1,687"
46617,Male,    Population 25 to 34 years,718
46617,Female,    Population 25 to 34 years,969
46619,Total,    Population 25 to 34 years,"2,298"
46619,Male,    Population 25 to 34 years,"1,026"
46619,Female,    Population 25 to 34 years,"1,272"
46624,Total,    Population 25 to 34 years,0
46624,Male,    Population 25 to 34 years,0
46624,Female,    Population 25 to 34 years,0
46628,Total,    Population 25 to 34 years,"3,915"
46628,Male,    Population 25 to 34 years,"1,798"
46628,Female,    Population 25 to 34 years,"2,117"
46635,Total,    Population 25 to 34 years,671
46635,Male,    Population 25 to 34 years,307
46635,Female,    Population 25 to 34 years,364
46637,Total,    Population 25 to 34 years,"2,837"
46637,Male,    Population 25 to 34 years,"1,432"
46637,Female,    Population 25 to 34 years,"1,405"
"St. Joseph County, Indiana",Total,        High school graduate or higher,"33,172"
"St. Joseph County, Indiana",Male,        High school graduate or higher,"16,472"
"St. Joseph County, Indiana",Female,        High school graduate or higher,"16,700"
46506,Total,        High school graduate or higher,"1,044"
46506,Male,        High school graduate or higher,579
46506,Female,        High school graduate or higher,465
46530,Total,        High school graduate or higher,"3,048"
46530,Male,        High school graduate or higher,"1,370"
46530,Female,        High school graduate or higher,"1,678"
46536,Total,        High school graduate or higher,297
46536,Male,        High school graduate or higher,87
46536,Female,        High school graduate or higher,210
46544,Total,        High school graduate or higher,"5,090"
46544,Male,        High school graduate or higher,"2,878"
46544,Female,        High school graduate or higher,"2,212"
46545,Total,        High school graduate or higher,"3,697"
46545,Male,        High school graduate or higher,"2,044"
46545,Female,        High school graduate or higher,"1,653"
46550,Total,        High school graduate or higher,"1,539"
46550,Male,        High school graduate or higher,746
46550,Female,        High school graduate or higher,793
46552,Total,        High school graduate or higher,498
46552,Male,        High school graduate or higher,281
46552,Female,        High school graduate or higher,217
46554,Total,        High school graduate or higher,529
46554,Male,        High school graduate or higher,277
46554,Female,        High school graduate or higher,252
46556,Total,        High school graduate or higher,152
46556,Male,        High school graduate or higher,125
46556,Female,        High school graduate or higher,27
46561,Total,        High school graduate or higher,"1,144"
46561,Male,        High school graduate or higher,527
46561,Female,        High school graduate or higher,617
46563,Total,        High school graduate or higher,"2,199"
46563,Male,        High school graduate or higher,"1,102"
46563,Female,        High school graduate or higher,"1,097"
46573,Total,        High school graduate or higher,453
46573,Male,        High school graduate or higher,216
46573,Female,        High school graduate or higher,237
46574,Total,        High school graduate or higher,739
46574,Male,        High school graduate or higher,360
46574,Female,        High school graduate or higher,379
46595,Total,        High school graduate or higher,0
46595,Male,        High school graduate or higher,0
46595,Female,        High school graduate or higher,0
46601,Total,        High school graduate or higher,606
46601,Male,        High school graduate or higher,345
46601,Female,        High school graduate or higher,261
46613,Total,        High school graduate or higher,"1,511"
46613,Male,        High school graduate or higher,731
46613,Female,        High school graduate or higher,780
46614,Total,        High school graduate or higher,"3,608"
46614,Male,        High school graduate or higher,"1,839"
46614,Female,        High school graduate or higher,"1,769"
46615,Total,        High school graduate or higher,"1,839"
46615,Male,        High school graduate or higher,730
46615,Female,        High school graduate or higher,"1,109"
46616,Total,        High school graduate or higher,976
46616,Male,        High school graduate or higher,483
46616,Female,        High school graduate or higher,493
46617,Total,        High school graduate or higher,"1,632"
46617,Male,        High school graduate or higher,718
46617,Female,        High school graduate or higher,914
46619,Total,        High school graduate or higher,"1,935"
46619,Male,        High school graduate or higher,883
46619,Female,        High school graduate or higher,"1,052"
46624,Total,        High school graduate or higher,0
46624,Male,        High school graduate or higher,0
46624,Female,        High school graduate or higher,0
46628,Total,        High school graduate or higher,"3,697"
46628,Male,        High school graduate or higher,"1,686"
46628,Female,        High school graduate or higher,"2,011"
46635,Total,        High school graduate or higher,628
46635,Male,        High school graduate or higher,278
46635,Female,        High school graduate or higher,350
46637,Total,        High school graduate or higher,"2,533"
46637,Male,        High school graduate or higher,"1,297"
46637,Female,        High school graduate or higher,"1,236"
"St. Joseph County, Indiana",Total,        Bachelor's degree or higher,"12,538"
"St. Joseph County, Indiana",Male,        Bachelor's degree or higher,"5,584"
"St. Joseph County, Indiana",Female,        Bachelor's degree or higher,"6,954"
46506,Total,        Bachelor's degree or higher,252
46506,Male,        Bachelor's degree or higher,68
46506,Female,        Bachelor's degree or higher,184
46530,Total,        Bachelor's degree or higher,"2,056"
46530,Male,        Bachelor's degree or higher,903
46530,Female,        Bachelor's degree or higher,"1,153"
46536,Total,        Bachelor's degree or higher,51
46536,Male,        Bachelor's degree or higher,9
46536,Female,        Bachelor's degree or higher,42
46544,Total,        Bachelor's degree or higher,"1,551"
46544,Male,        Bachelor's degree or higher,699
46544,Female,        Bachelor's degree or higher,852
46545,Total,        Bachelor's degree or higher,"1,444"
46545,Male,        Bachelor's degree or higher,802
46545,Female,        Bachelor's degree or higher,642
46550,Total,        Bachelor's degree or higher,151
46550,Male,        Bachelor's degree or higher,55
46550,Female,        Bachelor's degree or higher,96
46552,Total,        Bachelor's degree or higher,140
46552,Male,        Bachelor's degree or higher,37
46552,Female,        Bachelor's degree or higher,103
46554,Total,        Bachelor's degree or higher,117
46554,Male,        Bachelor's degree or higher,46
46554,Female,        Bachelor's degree or higher,71
46556,Total,        Bachelor's degree or higher,134
46556,Male,        Bachelor's degree or higher,108
46556,Female,        Bachelor's degree or higher,26
46561,Total,        Bachelor's degree or higher,168
46561,Male,        Bachelor's degree or higher,49
46561,Female,        Bachelor's degree or higher,119
46563,Total,        Bachelor's degree or higher,391
46563,Male,        Bachelor's degree or higher,133
46563,Female,        Bachelor's degree or higher,258
46573,Total,        Bachelor's degree or higher,180
46573,Male,        Bachelor's degree or higher,87
46573,Female,        Bachelor's degree or higher,93
46574,Total,        Bachelor's degree or higher,140
46574,Male,        Bachelor's degree or higher,47
46574,Female,        Bachelor's degree or higher,93
46595,Total,        Bachelor's degree or higher,0
46595,Male,        Bachelor's degree or higher,0
46595,Female,        Bachelor's degree or higher,0
46601,Total,        Bachelor's degree or higher,219
46601,Male,        Bachelor's degree or higher,101
46601,Female,        Bachelor's degree or higher,118
46613,Total,        Bachelor's degree or higher,100
46613,Male,        Bachelor's degree or higher,59
46613,Female,        Bachelor's degree or higher,41
46614,Total,        Bachelor's degree or higher,"1,346"
46614,Male,        Bachelor's degree or higher,552
46614,Female,        Bachelor's degree or higher,794
46615,Total,        Bachelor's degree or higher,730
46615,Male,        Bachelor's degree or higher,295
46615,Female,        Bachelor's degree or higher,435
46616,Total,        Bachelor's degree or higher,334
46616,Male,        Bachelor's degree or higher,171
46616,Female,        Bachelor's degree or higher,163
46617,Total,        Bachelor's degree or higher,"1,199"
46617,Male,        Bachelor's degree or higher,544
46617,Female,        Bachelor's degree or higher,655
46619,Total,        Bachelor's degree or higher,246
46619,Male,        Bachelor's degree or higher,101
46619,Female,        Bachelor's degree or higher,145
46624,Total,        Bachelor's degree or higher,0
46624,Male,        Bachelor's degree or higher,0
46624,Female,        Bachelor's degree or higher,0
46628,Total,        Bachelor's degree or higher,967
46628,Male,        Bachelor's degree or higher,417
46628,Female,        Bachelor's degree or higher,550
46635,Total,        Bachelor's degree or higher,276
46635,Male,        Bachelor's degree or higher,91
46635,Female,        Bachelor's degree or higher,185
46637,Total,        Bachelor's degree or higher,"1,468"
46637,Male,        Bachelor's degree or higher,627
46637,Female,        Bachelor's degree or higher,841
"St. Joseph County, Indiana",Total,    Population 35 to 44 years,"32,747"
"St. Joseph County, Indiana",Male,    Population 35 to 44 years,"16,400"
"St. Joseph County, Indiana",Female,    Population 35 to 44 years,"16,347"
46506,Total,    Population 35 to 44 years,"1,363"
46506,Male,    Population 35 to 44 years,634
46506,Female,    Population 35 to 44 years,729
46530,Total,    Population 35 to 44 years,"4,388"
46530,Male,    Population 35 to 44 years,"2,310"
46530,Female,    Population 35 to 44 years,"2,078"
46536,Total,    Population 35 to 44 years,277
46536,Male,    Population 35 to 44 years,135
46536,Female,    Population 35 to 44 years,142
46544,Total,    Population 35 to 44 years,"3,480"
46544,Male,    Population 35 to 44 years,"1,878"
46544,Female,    Population 35 to 44 years,"1,602"
46545,Total,    Population 35 to 44 years,"3,565"
46545,Male,    Population 35 to 44 years,"1,779"
46545,Female,    Population 35 to 44 years,"1,786"
46550,Total,    Population 35 to 44 years,"1,305"
46550,Male,    Population 35 to 44 years,731
46550,Female,    Population 35 to 44 years,574
46552,Total,    Population 35 to 44 years,971
46552,Male,    Population 35 to 44 years,460
46552,Female,    Population 35 to 44 years,511
46554,Total,    Population 35 to 44 years,387
46554,Male,    Population 35 to 44 years,217
46554,Female,    Population 35 to 44 years,170
46556,Total,    Population 35 to 44 years,31
46556,Male,    Population 35 to 44 years,12
46556,Female,    Population 35 to 44 years,19
46561,Total,    Population 35 to 44 years,"2,105"
46561,Male,    Population 35 to 44 years,"1,109"
46561,Female,    Population 35 to 44 years,996
46563,Total,    Population 35 to 44 years,"2,769"
46563,Male,    Population 35 to 44 years,"1,381"
46563,Female,    Population 35 to 44 years,"1,388"
46573,Total,    Population 35 to 44 years,488
46573,Male,    Population 35 to 44 years,244
46573,Female,    Population 35 to 44 years,244
46574,Total,    Population 35 to 44 years,779
46574,Male,    Population 35 to 44 years,459
46574,Female,    Population 35 to 44 years,320
46595,Total,    Population 35 to 44 years,0
46595,Male,    Population 35 to 44 years,0
46595,Female,    Population 35 to 44 years,0
46601,Total,    Population 35 to 44 years,715
46601,Male,    Population 35 to 44 years,416
46601,Female,    Population 35 to 44 years,299
46613,Total,    Population 35 to 44 years,"1,442"
46613,Male,    Population 35 to 44 years,642
46613,Female,    Population 35 to 44 years,800
46614,Total,    Population 35 to 44 years,"3,325"
46614,Male,    Population 35 to 44 years,"1,535"
46614,Female,    Population 35 to 44 years,"1,790"
46615,Total,    Population 35 to 44 years,"2,096"
46615,Male,    Population 35 to 44 years,848
46615,Female,    Population 35 to 44 years,"1,248"
46616,Total,    Population 35 to 44 years,641
46616,Male,    Population 35 to 44 years,368
46616,Female,    Population 35 to 44 years,273
46617,Total,    Population 35 to 44 years,"1,168"
46617,Male,    Population 35 to 44 years,574
46617,Female,    Population 35 to 44 years,594
46619,Total,    Population 35 to 44 years,"2,863"
46619,Male,    Population 35 to 44 years,"1,388"
46619,Female,    Population 35 to 44 years,"1,475"
46624,Total,    Population 35 to 44 years,0
46624,Male,    Population 35 to 44 years,0
46624,Female,    Population 35 to 44 years,0
46628,Total,    Population 35 to 44 years,"3,003"
46628,Male,    Population 35 to 44 years,"1,485"
46628,Female,    Population 35 to 44 years,"1,518"
46635,Total,    Population 35 to 44 years,837
46635,Male,    Population 35 to 44 years,394
46635,Female,    Population 35 to 44 years,443
46637,Total,    Population 35 to 44 years,"1,855"
46637,Male,    Population 35 to 44 years,"1,069"
46637,Female,    Population 35 to 44 years,786
"St. Joseph County, Indiana",Total,        High school graduate or higher,"29,680"
"St. Joseph County, Indiana",Male,        High school graduate or higher,"14,616"
"St. Joseph County, Indiana",Female,        High school graduate or higher,"15,064"
46506,Total,        High school graduate or higher,"1,024"
46506,Male,        High school graduate or higher,489
46506,Female,        High school graduate or higher,535
46530,Total,        High school graduate or higher,"4,367"
46530,Male,        High school graduate or higher,"2,289"
46530,Female,        High school graduate or higher,"2,078"
46536,Total,        High school graduate or higher,258
46536,Male,        High school graduate or higher,131
46536,Female,        High school graduate or higher,127
46544,Total,        High school graduate or higher,"3,053"
46544,Male,        High school graduate or higher,"1,631"
46544,Female,        High school graduate or higher,"1,422"
46545,Total,        High school graduate or higher,"3,334"
46545,Male,        High school graduate or higher,"1,653"
46545,Female,        High school graduate or higher,"1,681"
46550,Total,        High school graduate or higher,956
46550,Male,        High school graduate or higher,475
46550,Female,        High school graduate or higher,481
46552,Total,        High school graduate or higher,923
46552,Male,        High school graduate or higher,416
46552,Female,        High school graduate or higher,507
46554,Total,        High school graduate or higher,360
46554,Male,        High school graduate or higher,201
46554,Female,        High school graduate or higher,159
46556,Total,        High school graduate or higher,31
46556,Male,        High school graduate or higher,12
46556,Female,        High school graduate or higher,19
46561,Total,        High school graduate or higher,"1,759"
46561,Male,        High school graduate or higher,775
46561,Female,        High school graduate or higher,984
46563,Total,        High school graduate or higher,"2,264"
46563,Male,        High school graduate or higher,"1,121"
46563,Female,        High school graduate or higher,"1,143"
46573,Total,        High school graduate or higher,376
46573,Male,        High school graduate or higher,132
46573,Female,        High school graduate or higher,244
46574,Total,        High school graduate or higher,694
46574,Male,        High school graduate or higher,374
46574,Female,        High school graduate or higher,320
46595,Total,        High school graduate or higher,0
46595,Male,        High school graduate or higher,0
46595,Female,        High school graduate or higher,0
46601,Total,        High school graduate or higher,636
46601,Male,        High school graduate or higher,349
46601,Female,        High school graduate or higher,287
46613,Total,        High school graduate or higher,"1,215"
46613,Male,        High school graduate or higher,502
46613,Female,        High school graduate or higher,713
46614,Total,        High school graduate or higher,"3,244"
46614,Male,        High school graduate or higher,"1,489"
46614,Female,        High school graduate or higher,"1,755"
46615,Total,        High school graduate or higher,"1,833"
46615,Male,        High school graduate or higher,629
46615,Female,        High school graduate or higher,"1,204"
46616,Total,        High school graduate or higher,542
46616,Male,        High school graduate or higher,306
46616,Female,        High school graduate or higher,236
46617,Total,        High school graduate or higher,"1,124"
46617,Male,        High school graduate or higher,560
46617,Female,        High school graduate or higher,564
46619,Total,        High school graduate or higher,"2,186"
46619,Male,        High school graduate or higher,993
46619,Female,        High school graduate or higher,"1,193"
46624,Total,        High school graduate or higher,0
46624,Male,        High school graduate or higher,0
46624,Female,        High school graduate or higher,0
46628,Total,        High school graduate or higher,"2,471"
46628,Male,        High school graduate or higher,"1,267"
46628,Female,        High school graduate or higher,"1,204"
46635,Total,        High school graduate or higher,717
46635,Male,        High school graduate or higher,351
46635,Female,        High school graduate or higher,366
46637,Total,        High school graduate or higher,"1,766"
46637,Male,        High school graduate or higher,"1,020"
46637,Female,        High school graduate or higher,746
"St. Joseph County, Indiana",Total,        Bachelor's degree or higher,"11,980"
"St. Joseph County, Indiana",Male,        Bachelor's degree or higher,"5,427"
"St. Joseph County, Indiana",Female,        Bachelor's degree or higher,"6,553"
46506,Total,        Bachelor's degree or higher,470
46506,Male,        Bachelor's degree or higher,117
46506,Female,        Bachelor's degree or higher,353
46530,Total,        Bachelor's degree or higher,"2,856"
46530,Male,        Bachelor's degree or higher,"1,493"
46530,Female,        Bachelor's degree or higher,"1,363"
46536,Total,        Bachelor's degree or higher,36
46536,Male,        Bachelor's degree or higher,28
46536,Female,        Bachelor's degree or higher,8
46544,Total,        Bachelor's degree or higher,786
46544,Male,        Bachelor's degree or higher,364
46544,Female,        Bachelor's degree or higher,422
46545,Total,        Bachelor's degree or higher,"1,291"
46545,Male,        Bachelor's degree or higher,623
46545,Female,        Bachelor's degree or higher,668
46550,Total,        Bachelor's degree or higher,154
46550,Male,        Bachelor's degree or higher,86
46550,Female,        Bachelor's degree or higher,68
46552,Total,        Bachelor's degree or higher,344
46552,Male,        Bachelor's degree or higher,159
46552,Female,        Bachelor's degree or higher,185
46554,Total,        Bachelor's degree or higher,164
46554,Male,        Bachelor's degree or higher,73
46554,Female,        Bachelor's degree or higher,91
46556,Total,        Bachelor's degree or higher,8
46556,Male,        Bachelor's degree or higher,8
46556,Female,        Bachelor's degree or higher,0
46561,Total,        Bachelor's degree or higher,644
46561,Male,        Bachelor's degree or higher,223
46561,Female,        Bachelor's degree or higher,421
46563,Total,        Bachelor's degree or higher,643
46563,Male,        Bachelor's degree or higher,187
46563,Female,        Bachelor's degree or higher,456
46573,Total,        Bachelor's degree or higher,95
46573,Male,        Bachelor's degree or higher,38
46573,Female,        Bachelor's degree or higher,57
46574,Total,        Bachelor's degree or higher,105
46574,Male,        Bachelor's degree or higher,30
46574,Female,        Bachelor's degree or higher,75
46595,Total,        Bachelor's degree or higher,0
46595,Male,        Bachelor's degree or higher,0
46595,Female,        Bachelor's degree or higher,0
46601,Total,        Bachelor's degree or higher,207
46601,Male,        Bachelor's degree or higher,85
46601,Female,        Bachelor's degree or higher,122
46613,Total,        Bachelor's degree or higher,219
46613,Male,        Bachelor's degree or higher,114
46613,Female,        Bachelor's degree or higher,105
46614,Total,        Bachelor's degree or higher,"1,398"
46614,Male,        Bachelor's degree or higher,478
46614,Female,        Bachelor's degree or higher,920
46615,Total,        Bachelor's degree or higher,713
46615,Male,        Bachelor's degree or higher,224
46615,Female,        Bachelor's degree or higher,489
46616,Total,        Bachelor's degree or higher,286
46616,Male,        Bachelor's degree or higher,163
46616,Female,        Bachelor's degree or higher,123
46617,Total,        Bachelor's degree or higher,695
46617,Male,        Bachelor's degree or higher,327
46617,Female,        Bachelor's degree or higher,368
46619,Total,        Bachelor's degree or higher,550
46619,Male,        Bachelor's degree or higher,260
46619,Female,        Bachelor's degree or higher,290
46624,Total,        Bachelor's degree or higher,0
46624,Male,        Bachelor's degree or higher,0
46624,Female,        Bachelor's degree or higher,0
46628,Total,        Bachelor's degree or higher,831
46628,Male,        Bachelor's degree or higher,353
46628,Female,        Bachelor's degree or higher,478
46635,Total,        Bachelor's degree or higher,264
46635,Male,        Bachelor's degree or higher,148
46635,Female,        Bachelor's degree or higher,116
46637,Total,        Bachelor's degree or higher,567
46637,Male,        Bachelor's degree or higher,276
46637,Female,        Bachelor's degree or higher,291
"St. Joseph County, Indiana",Total,    Population 45 to 64 years,"64,440"
"St. Joseph County, Indiana",Male,    Population 45 to 64 years,"31,619"
"St. Joseph County, Indiana",Female,    Population 45 to 64 years,"32,821"
46506,Total,    Population 45 to 64 years,"2,274"
46506,Male,    Population 45 to 64 years,"1,086"
46506,Female,    Population 45 to 64 years,"1,188"
46530,Total,    Population 45 to 64 years,"8,325"
46530,Male,    Population 45 to 64 years,"3,985"
46530,Female,    Population 45 to 64 years,"4,340"
46536,Total,    Population 45 to 64 years,966
46536,Male,    Population 45 to 64 years,570
46536,Female,    Population 45 to 64 years,396
46544,Total,    Population 45 to 64 years,"7,277"
46544,Male,    Population 45 to 64 years,"3,426"
46544,Female,    Population 45 to 64 years,"3,851"
46545,Total,    Population 45 to 64 years,"5,603"
46545,Male,    Population 45 to 64 years,"2,499"
46545,Female,    Population 45 to 64 years,"3,104"
46550,Total,    Population 45 to 64 years,"2,878"
46550,Male,    Population 45 to 64 years,"1,389"
46550,Female,    Population 45 to 64 years,"1,489"
46552,Total,    Population 45 to 64 years,"1,752"
46552,Male,    Population 45 to 64 years,874
46552,Female,    Population 45 to 64 years,878
46554,Total,    Population 45 to 64 years,"1,370"
46554,Male,    Population 45 to 64 years,694
46554,Female,    Population 45 to 64 years,676
46556,Total,    Population 45 to 64 years,112
46556,Male,    Population 45 to 64 years,103
46556,Female,    Population 45 to 64 years,9
46561,Total,    Population 45 to 64 years,"4,248"
46561,Male,    Population 45 to 64 years,"2,061"
46561,Female,    Population 45 to 64 years,"2,187"
46563,Total,    Population 45 to 64 years,"6,252"
46563,Male,    Population 45 to 64 years,"3,402"
46563,Female,    Population 45 to 64 years,"2,850"
46573,Total,    Population 45 to 64 years,953
46573,Male,    Population 45 to 64 years,474
46573,Female,    Population 45 to 64 years,479
46574,Total,    Population 45 to 64 years,"2,095"
46574,Male,    Population 45 to 64 years,"1,049"
46574,Female,    Population 45 to 64 years,"1,046"
46595,Total,    Population 45 to 64 years,24
46595,Male,    Population 45 to 64 years,12
46595,Female,    Population 45 to 64 years,12
46601,Total,    Population 45 to 64 years,"1,349"
46601,Male,    Population 45 to 64 years,737
46601,Female,    Population 45 to 64 years,612
46613,Total,    Population 45 to 64 years,"2,345"
46613,Male,    Population 45 to 64 years,"1,240"
46613,Female,    Population 45 to 64 years,"1,105"
46614,Total,    Population 45 to 64 years,"7,010"
46614,Male,    Population 45 to 64 years,"3,513"
46614,Female,    Population 45 to 64 years,"3,497"
46615,Total,    Population 45 to 64 years,"3,575"
46615,Male,    Population 45 to 64 years,"1,926"
46615,Female,    Population 45 to 64 years,"1,649"
46616,Total,    Population 45 to 64 years,"1,301"
46616,Male,    Population 45 to 64 years,637
46616,Female,    Population 45 to 64 years,664
46617,Total,    Population 45 to 64 years,"1,992"
46617,Male,    Population 45 to 64 years,"1,137"
46617,Female,    Population 45 to 64 years,855
46619,Total,    Population 45 to 64 years,"5,344"
46619,Male,    Population 45 to 64 years,"2,545"
46619,Female,    Population 45 to 64 years,"2,799"
46624,Total,    Population 45 to 64 years,0
46624,Male,    Population 45 to 64 years,0
46624,Female,    Population 45 to 64 years,0
46628,Total,    Population 45 to 64 years,"7,157"
46628,Male,    Population 45 to 64 years,"3,259"
46628,Female,    Population 45 to 64 years,"3,898"
46635,Total,    Population 45 to 64 years,"1,610"
46635,Male,    Population 45 to 64 years,827
46635,Female,    Population 45 to 64 years,783
46637,Total,    Population 45 to 64 years,"3,917"
46637,Male,    Population 45 to 64 years,"1,926"
46637,Female,    Population 45 to 64 years,"1,991"
"St. Joseph County, Indiana",Total,        High school graduate or higher,"58,680"
"St. Joseph County, Indiana",Male,        High school graduate or higher,"28,496"
"St. Joseph County, Indiana",Female,        High school graduate or higher,"30,184"
46506,Total,        High school graduate or higher,"1,777"
46506,Male,        High school graduate or higher,813
46506,Female,        High school graduate or higher,964
46530,Total,        High school graduate or higher,"8,087"
46530,Male,        High school graduate or higher,"3,865"
46530,Female,        High school graduate or higher,"4,222"
46536,Total,        High school graduate or higher,879
46536,Male,        High school graduate or higher,497
46536,Female,        High school graduate or higher,382
46544,Total,        High school graduate or higher,"6,439"
